title,rating,year,actors,languages,runtime,url
Mutiny on the Bounty,7.7,1935,Charles Laughton;Clark Gable;Franchot Tone;Herbert Mundin,English;Polynesian,132,https://www.imdb.com//title/tt0026752/
My Man Godfrey,8.0,1936,William Powell;Carole Lombard;Alice Brady;Gail Patrick,English;Russian,94,https://www.imdb.com//title/tt0028010/
Fury,7.9,1936,Sylvia Sidney;Spencer Tracy;Walter Abel;Bruce Cabot,English,92,https://www.imdb.com//title/tt0027652/
Modern Times,8.5,1936,Charles Chaplin;Paulette Goddard;Henry Bergman;Tiny Sandford,English,87,https://www.imdb.com//title/tt0027977/
"Nee, mevrouw, dat nooit!",7.9,1936,Jean Harlow;William Powell;Myrna Loy;Spencer Tracy,English,98,https://www.imdb.com//title/tt0027884/
Mr. Deeds Goes to Town,7.9,1936,Gary Cooper;Jean Arthur;George Bancroft;Lionel Stander,English,115,https://www.imdb.com//title/tt0027996/
La Grande Illusion,8.1,1937,Jean Gabin;Dita Parlo;Pierre Fresnay;Erich von Stroheim,French;German;English;Russian,113,https://www.imdb.com//title/tt0028950/
Pépé le Moko,7.8,1937,Jean Gabin;Gabriel Gabrio;Saturnin Fabre;Fernand Charpin,French;Arabic,94,https://www.imdb.com//title/tt0029453/
Stage Door,7.8,1937,Katharine Hepburn;Ginger Rogers;Adolphe Menjou;Gail Patrick,English,92,https://www.imdb.com//title/tt0029604/
De stormduivels,8.0,1937,Spencer Tracy;Freddie Bartholomew;Lionel Barrymore;Melvyn Douglas,English;Portuguese,117,https://www.imdb.com//title/tt0028691/
Make Way for Tomorrow,8.2,1937,Victor Moore;Beulah Bondi;Fay Bainter;Thomas Mitchell,English,91,https://www.imdb.com//title/tt0029192/
The Lady Vanishes,7.8,1938,Margaret Lockwood;Michael Redgrave;Paul Lukas;May Whitty,English;German;French;Italian,96,https://www.imdb.com//title/tt0030341/
The Adventures of Robin Hood,7.9,1938,William Keighley;Errol Flynn;Olivia de Havilland;Basil Rathbone;Claude Rains,English,102,https://www.imdb.com//title/tt0029843/
You Can't Take It with You,7.9,1938,Jean Arthur;James Stewart;Lionel Barrymore;Edward Arnold,English;Russian,126,https://www.imdb.com//title/tt0030993/
